pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url	bibtex_url
2020-05-20	Padé Approximants and the Anharmonic Oscillator	Yale University		Desai, Krish. (2020). "Padé Approximants and the Anharmonic Oscillator." <i>Yale University</i>. MS Mathematics Thesis.	pade-approximants-anharmonic-oscillator	https://www.desai.ml/files/2-paper.pdf		https://www.desai.ml/files/2-biblatex.bib
2021-11-01	Symmetry Discovery with Deep Learning	NeurIPS 2021		Desai, K., Nachman, B., & Thaler, J. (2021). Symmetry Discovery with Deep Learning. <i>NeurIPS</i> ML4PS 117 (2021)	symmetry-discovery-deep-learning	https://www.desai.ml/files/3-paper.pdf	https://www.desai.ml/files/3-slides.pdf	https://www.desai.ml/files/3-biblatex.bib
2021-12-16	Oblivious points on translation surfaces	Journal of Geometry		Adelstein, I., Desai, K., Ji, A., & Zdeblick, G. (2022). Oblivious points on translation surfaces. <i>Journal of Geometry</i>, 113(1), 6.	oblivious-points-translation-surfaces	https://www.desai.ml/files/1-paper.pdf	https://www.desai.ml/files/1-slides.pdf	https://www.desai.ml/files/1-biblatex.bib
2022-05-01	SymmetryGAN	Physical Review D		Desai, K., Nachman, B., & Thaler, J. (2022). SymmetryGAN. <i>Physical Review D</i>, 105(9), 096031.	symmetrygan	https://www.desai.ml/files/4-paper.pdf		https://www.desai.ml/files/4-biblatex.bib
2022-11-01	Deconvolving Detector Effects for Distribution Moments	NeurIPS ML4PS		Desai, K., Nachman, B., & Thaler, J. (2022). Deconvolving Detector Effects for Distribution Moments. <i>NeurIPS</i> ML4PS, 43.	deconvolving-detector-effects	https://www.desai.ml/files/5-paper.pdf	https://www.desai.ml/files/5-slides.pdf	https://www.desai.ml/files/5-biblatex.bib
2024-11-01	Multidimensional Deconvolution with Profiling	NeurIPS ML4PS		Zhu, H., Desai, K., Kuusela, M., Mikuni, V., Nachman, B., & Wasserman, L (2024) Multidimensional Deconvolution with Profiling. <i>NeurIPS</i> ML4PS (150).	multidimensional-deconvolution-profiling	https://www.desai.ml/files/8-paper.pdf	https://www.desai.ml/files/8-slides.pdf	https://www.desai.ml/files/8-biblatex.bib
2024-11-01	Neural Posterior Unfolding	NeurIPS ML4PS		Acosta, F. T., Chan, J., Desai, K., Mikuni, V., Nachman, B., & Pan, J. (2024) Neural Posterior Unfolding. <i>NeurIPS</i> ML4PS (177).	neural-posterior-unfolding	https://www.desai.ml/files/7-paper.pdf	https://www.desai.ml/files/7-slides.pdf	https://www.desai.ml/files/7-biblatex.bib
2024-12-13	Moment Unfolding	Physical Review D		Desai, K., Nachman, B., & Thaler, J. (2024). Moment extraction using an unfolding protocol without binning. <i>Physical Review D</i>, 110(11), 116013.	moment-unfolding	https://www.desai.ml/files/6-paper.pdf		https://www.desai.ml/files/6-biblatex.bib
2025-04-18	Unbinned Inference with Correlated Events	arXiv		Desai, K., Long, O., & Nachman, B. (2025). Unbinned Inference with Correlated Events. arXiv:2504.14072.	unbinned-inference-correlated-events	https://www.desai.ml/files/9-paper.pdf		https://www.desai.ml/files/9-biblatex.bib
2025-08-15	Machine Learning Methods for Cross Section Measurements	University of California, Berkeley		Desai, Krish. (2025). Machine Learning Methods for Cross Section Measurements. <i>University of California, Berkeley</i>. PhD Physics Dissertation.	machine-learning-cross-section-measurements	https://www.desai.ml/files/10-paper.pdf		https://www.desai.ml/files/10-biblatex.bib
