title	type	url_slug	venue	date	location	talk_url	description
Oblivious Points on Translation Surfaces	Talk	oblivious-points-translation-surfaces	Young Mathematicians Conference	2019-07-01	Columbus, OH		
Closed Geodesics on Translation Surfaces	Talk	closed-geodesics-translation-surfaces	Massachusetts Undergraduate Research Conference	2019-08-01	Amherst, MA		
Symmetry Discovery	Talk	symmetry-discovery-lbnl	Lawrence Berkeley National Laboratory, Physics Division Seminar	2021-04-01	Virtual	https://indico.physics.lbl.gov/event/1482/	
Symmetry Discovery using Machine Learning	Talk	symmetry-discovery-aps	American Physical Society	2021-04-01	Virtual	https://meetings.aps.org/Meeting/APR21/Session/K17.5	
SymmetryGAN	Talk	symmetrygan-ml4jets	Machine Learning for Jets	2021-07-01	Heidelberg, Germany	https://indico.cern.ch/event/980214/contributions/4413706/	
Symmetry Discovery and Deep Learning	Talk	symmetry-discovery-clarifai	Clarifai Perceive Deep Learning AI Conference	2021-10-01	Virtual	https://www.accelevents.com/e/clarifaiperceive2021?sessionId=213791&pastSession=true#agenda	
Introduction to Symmetry Discovery and Deep Learning	Talk	symmetry-discovery-compass	Berkeley Compass Lecture	2021-11-01	Berkeley, CA	https://www.ocf.berkeley.edu/~comproj/?page_id=229#symmetry-discovery	
Symmetry Discovery with Deep Learning	Talk	symmetry-discovery-neurips	Thirty-Fifth Annual Conference on Neural Information Processing Systems	2021-12-01	Virtual	https://ml4physicalsciences.github.io/2021/	
Moment Unfolding using Deep Learning	Talk	moment-unfolding-aps	American Physical Society	2022-04-01	New York, NY	https://meetings.aps.org/Meeting/APR22/Session/K08.4	
High Energy Physics Seminar	Talk	hep-seminar-kias	Korea Institute for Advanced Study	2022-06-01	Seoul, South Korea	https://indico.kias.re.kr/event/126/	
Moment Unfolding with Deep Learning	Talk	moment-unfolding-ml4jets	Machine Learning for Jets	2022-11-01	New Brunswick, NJ	https://indico.cern.ch/event/1159913/contributions/5062749/	
Deconvolving Detector Effects for Distribution Moments	Talk	deconvolving-detector-neurips	Thirty-Sixth Annual Conference on Neural Information Processing Systems	2022-12-01	New Orleans, USA	https://ml4physicalsciences.github.io/2022/	
Moment extraction using an unfolding protocol without binning	Talk	moment-extraction-phystat	PHY-STAT Unfolding Conference	2024-06-01	Paris, France	https://indico.cern.ch/event/1357972/contributions/5982620/	
CMS Seminar	Talk	cms-seminar-cern	CERN	2024-07-01	Geneva, Switzerland	https://indico.cern.ch/event/1357638/#7-unfolding-with-ml-omnifold-t	
Multidimensional Deconvolution with Profiling	Talk	multidimensional-deconvolution-neurips	Thirty-Eighth Annual Conference on Neural Information Processing Systems	2024-12-01	Vancouver, Canada	https://ml4physicalsciences.github.io/2024/	
Neural Posterior Unfolding	Talk	neural-posterior-neurips	Thirty-Eighth Annual Conference on Neural Information Processing Systems	2024-12-01	Vancouver, Canada	https://ml4physicalsciences.github.io/2024/	
